article,topic,citation
Article 1,The Legislative Branch,ArtI
Article 2,The Presidency,ArtII
Article 3,The Judiciary,ArtIII
Article 4,The States,ArtIV
Article 5,The Amendment Process,ArtV
Article 6,Legal Status of the Constitution,ArtVI
Article 7,Ratification,ArtVII
